pressure temperature CH4 H2S H2 He
974.698 646.963 0.0386357 0.0012166 0.779690529 0.182890371 
950.037 642.695 0.0386623 0.00121744 0.7796696634 0.18288547659999999 
925.999 638.442 0.0386886 0.00121827 0.7796490327000001 0.1828806373 
902.57 634.205 0.0387147 0.00121909 0.7796285559 0.1828758341 
879.734 629.983 0.0387406 0.00121991 0.7796082411 0.1828710689 
857.475 625.776 0.0387662 0.00122071 0.7795881531000001 0.1828663569 
835.78 621.586 0.0387916 0.00122151 0.7795682271000001 0.1828616829 
814.633 617.411 0.0388167 0.0012223 0.7795485360000001 0.18285706399999999 
794.022 613.252 0.0388415 0.00122309 0.7795290879000001 0.1828525021 
773.932 609.11 0.0388661 0.00122386 0.7795097856000001 0.1828479744 
754.35 604.983 0.0388904 0.00122462 0.7794907182 0.1828435018 
735.264 600.873 0.0389144 0.00122538 0.7794718938 0.1828390862 
716.66 596.779 0.0389381 0.00122613 0.7794533043000001 0.1828347257 
698.528 592.702 0.0389615 0.00122686 0.7794349416000002 0.18283041840000003 
680.854 588.641 0.0389846 0.00122759 0.7794168219 0.1828261681 
663.626 584.597 0.0390074 0.00122831 0.7793989371000001 0.1828219729 
646.835 580.57 0.0390298 0.00122901 0.7793813601 0.1828178499 
630.469 576.56 0.0390519 0.00122971 0.7793640261000001 0.1828137839 
614.518 572.568 0.0390736 0.00123039 0.7793469999 0.1828097901 
598.969 568.593 0.039095 0.00123107 0.7793302167 0.18280585330000002 
583.814 564.635 0.039116 0.00123173 0.7793137413 0.1828019887 
569.043 560.695 0.0391366 0.00123238 0.7792975818000001 0.1827981982 
554.645 556.772 0.0391569 0.00123302 0.7792816572000001 0.1827944628 
540.612 552.868 0.0391767 0.00123364 0.7792661214000001 0.18279081860000002 
526.934 548.981 0.0391962 0.00123425 0.7792508205 0.1827872295 
513.601 545.113 0.0392153 0.00123485 0.7792358355000001 0.1827837145 
500.606 541.263 0.0392339 0.00123544 0.7792212474 0.18278029259999998 
487.94 537.432 0.0392522 0.00123602 0.7792068942000001 0.18277692580000002 
475.595 533.619 0.03927 0.00123658 0.7791929298000001 0.1827736502 
463.561 529.825 0.0392874 0.00123712 0.7791792732 0.1827704468 
451.833 526.049 0.0393043 0.00123766 0.7791660216000001 0.1827673384 
440.401 522.293 0.0393208 0.00123818 0.7791530778 0.18276430219999998 
429.258 518.556 0.0393369 0.00123868 0.7791404418000001 0.1827613382 
418.397 514.839 0.0393525 0.00123918 0.7791282108 0.1827584692 
407.811 511.141 0.0393677 0.00123965 0.7791162795000001 0.1827556705 
397.493 507.462 0.0393824 0.00124012 0.7791047531999999 0.1827529668 
387.435 503.803 0.0393967 0.00124057 0.7790935347000001 0.1827503353 
377.633 500.164 0.0394105 0.001241 0.7790827050000001 0.18274779500000002 
368.078 496.545 0.0394238 0.00124142 0.7790722722000001 0.1827453478 
358.765 492.947 0.0394367 0.00124183 0.7790621553 0.1827429747 
349.688 489.368 0.0394492 0.00124222 0.7790523462000001 0.1827406738 
340.84 485.81 0.0394611 0.0012426 0.7790430150000001 0.182738485 
332.216 482.272 0.0394727 0.00124296 0.7790339106 0.1827363494 
323.811 478.755 0.0394837 0.00124331 0.7790252841 0.1827343259 
315.618 475.258 0.0394944 0.00124364 0.7790168844 0.18273235559999998 
307.632 471.782 0.0395046 0.00124396 0.7790088816 0.1827304784 
299.849 468.327 0.0395143 0.00124427 0.7790012757000001 0.18272869430000002 
292.262 464.892 0.0395236 0.00124456 0.7789939776 0.1827269824 
284.867 461.479 0.0395325 0.00124484 0.7789869954 0.1827253446 
277.66 458.087 0.039541 0.00124511 0.7789803291 0.1827237809 
270.634 454.715 0.039549 0.00124536 0.7789740516 0.18272230839999998 
263.786 451.365 0.0395567 0.0012456 0.7789680090000001 0.182720891 
257.112 448.036 0.0395639 0.00124583 0.7789623633 0.1827195667 
250.607 444.728 0.0395708 0.00124605 0.7789569525000001 0.1827182975 
244.266 441.441 0.0395773 0.00124625 0.7789518495000001 0.1827171005 
238.086 438.175 0.0395835 0.00124645 0.7789469895000001 0.1827159605 
232.062 434.931 0.0395893 0.00124663 0.7789424373 0.1827148927 
226.19 431.707 0.0395947 0.0012468 0.7789382010000001 0.182713899 
220.467 428.505 0.0395998 0.00124696 0.7789341996000001 0.1827129604 
214.889 425.324 0.0396046 0.00124711 0.7789304331000001 0.1827120769 
209.452 422.165 0.0396092 0.00124726 0.7789268286000001 0.1827112314 
204.153 419.026 0.0396134 0.00124739 0.7789235319 0.1827104581 
198.987 415.908 0.0396173 0.00124751 0.7789204701000001 0.1827097399 
193.953 412.812 0.039621 0.00124763 0.7789175703000001 0.1827090597 
189.045 409.736 0.0396244 0.00124774 0.7789149054000001 0.18270843460000002 
184.262 406.681 0.0396276 0.00124784 0.7789123944 0.1827078456 
179.6 403.647 0.0396306 0.00124793 0.7789100373000001 0.18270729270000002 
175.056 400.634 0.0396333 0.00124802 0.7789079232000001 0.18270679680000002 
170.627 397.641 0.0396358 0.0012481 0.778905963 0.182706337 
166.31 394.669 0.0396382 0.00124817 0.7789040757000001 0.1827058943 
162.102 391.718 0.0396404 0.00124824 0.7789023504 0.1827054896 
158.0 388.786 0.0396424 0.0012483 0.7789007790000001 0.182705121 
154.003 385.875 0.0396442 0.00124836 0.7788993696 0.18270479039999998 
150.106 382.985 0.0396459 0.00124841 0.7788980331 0.1827044769 
146.308 380.114 0.0396474 0.00124846 0.7788968586 0.18270420140000002 
142.606 377.263 0.0396489 0.00124851 0.7788956841000001 0.1827039259 
138.998 374.432 0.0396502 0.00124855 0.7788946635000001 0.18270368650000002 
135.481 371.62 0.0396514 0.00124859 0.7788937239 0.1827034661 
132.054 368.828 0.0396524 0.00124862 0.7788929382 0.1827032818 
128.712 366.056 0.0396534 0.00124865 0.7788921525000001 0.1827030975 
125.456 363.303 0.0396543 0.00124868 0.7788914478000001 0.1827029322 
122.282 360.569 0.0396551 0.0012487 0.778890816 0.18270278399999998 
119.188 357.854 0.0396559 0.00124873 0.7788901923000001 0.1827026377 
116.172 355.158 0.0396566 0.00124875 0.7788896415000001 0.1827025085 
113.233 352.48 0.0396572 0.00124877 0.7788891717 0.1827023983 
110.368 349.821 0.0396577 0.00124879 0.7788887829000001 0.1827023071 
107.575 347.181 0.0396582 0.0012488 0.7788883860000001 0.18270221400000003 
104.853 344.559 0.0396587 0.00124882 0.7788879972 0.1827021228 
102.2 341.955 0.0396591 0.00124883 0.7788876813000001 0.1827020487 
99.6144 339.369 0.0396594 0.00124884 0.7788874464000001 0.1827019936 
97.094 336.798 0.0396659 0.00114071 0.7787945961 0.1826802139 
94.6374 334.242 0.0396711 0.00107789 0.7787394999000001 0.18266729010000002 
92.2429 331.702 0.0396759 0.00102191 0.7786902681000001 0.1826557419 
89.909 329.177 0.0396801 0.000972503 0.77864684643 0.18264555657 
87.6342 326.669 0.0396837 0.000929339 0.7786089675900001 0.18263667141 
85.4169 324.176 0.0396869 0.000892053 0.77857617393 0.18262897907 
83.2557 321.7 0.0396896 0.000860229 0.7785482094900001 0.18262241951000002 
81.1492 319.24 0.0396919 0.000833405 0.77852461905 0.18261688595 
