wavelength_um    I_over_F
0.48310    0.5034
0.48763    0.5182
0.49217    0.5573
0.49670    0.5516
0.50124    0.5468
0.50577    0.5196
0.51031    0.4811
0.51484    0.5438
0.51938    0.5321
0.52391    0.5139
0.52845    0.5289
0.53298    0.4832
0.53752    0.3547
0.54205    0.2301
0.54659    0.3988
0.55112    0.5289
0.55566    0.5122
0.56019    0.5062
0.56473    0.4793
0.56926    0.4070
0.57379    0.3202
0.57833    nan
0.58286    nan
0.58740    nan
0.59193    nan
0.59647    nan
0.60100    nan
0.60554    0.3707
0.61007    0.2446
0.61461    0.1206
0.61914    0.0977
0.62368    0.1355
0.62821    0.3042
0.63275    0.3970
0.63728    0.3677
0.64182    0.2973
0.64635    0.2878
0.65089    0.2389
0.65542    0.1884
0.65996    0.1527
0.66449    0.1200
0.66903    0.1209
0.67356    0.2116
0.67810    0.2902
0.68263    0.2036
0.68717    0.2099
0.69170    0.2336
0.69623    0.1596
0.70077    0.0825
0.70530    0.0761
0.70984    0.1155
0.71437    0.1190
0.71891    0.0500
0.72344    0.0391
0.72798    0.0308
0.73251    0.0380
0.73705    0.0521
0.74158    0.1252
0.74612    0.1887
0.75065    0.1925
0.75519    0.1839
0.75972    0.1341
0.76426    0.0825
0.76879    0.0746
0.77333    0.0605
0.77786    0.0405
0.78240    0.0292
0.78693    0.0292
0.79147    0.0292
0.79600    0.0235
0.80054    0.0236
0.80507    0.0292
0.80960    0.0348
0.81414    0.0486
0.81867    0.0840
0.82321    0.1144
0.82774    0.1140
0.83228    0.1427
0.83681    0.0378
0.84135    0.0235
0.84588    0.0245
0.85042    0.0292
0.85495    0.0178
0.85949    0.0121
0.86402    0.0121
0.86856    0.0121
0.87309    0.0121
0.87763    0.0121
0.88216    0.0065
0.88670    0.0008
0.89123    0.0008
0.89577    0.0008
0.90030    0.0036
0.90484    0.0065
0.90937    0.0121
0.91391    0.0121
0.91844    0.0127
0.92297    0.0292
0.92751    0.0612
0.93204    0.1286
