pressure temperature CH4 H2S 
974.698 498.15 0.0386357 0.0012166 
950.037 496.012 0.0386623 0.00121744 
925.999 493.873 0.0386886 0.00121827 
902.57 491.735 0.0387147 0.00121909 
879.734 489.597 0.0387406 0.00121991 
857.475 487.459 0.0387662 0.00122071 
835.78 485.321 0.0387916 0.00122151 
814.633 483.183 0.0388167 0.0012223 
794.022 481.044 0.0388415 0.00122309 
773.932 478.906 0.0388661 0.00122386 
754.35 476.768 0.0388904 0.00122462 
735.264 474.63 0.0389144 0.00122538 
716.66 472.492 0.0389381 0.00122613 
698.528 470.354 0.0389615 0.00122686 
680.854 468.215 0.0389846 0.00122759 
663.626 466.077 0.0390074 0.00122831 
646.835 463.939 0.0390298 0.00122901 
630.469 461.801 0.0390519 0.00122971 
614.518 459.663 0.0390736 0.00123039 
598.969 457.524 0.039095 0.00123107 
583.814 455.386 0.039116 0.00123173 
569.043 453.248 0.0391366 0.00123238 
554.645 451.11 0.0391569 0.00123302 
540.612 448.972 0.0391767 0.00123364 
526.934 446.833 0.0391962 0.00123425 
513.601 444.695 0.0392153 0.00123485 
500.606 442.557 0.0392339 0.00123544 
487.94 440.318 0.0392522 0.00123602 
475.595 438.075 0.03927 0.00123658 
463.561 435.831 0.0392874 0.00123712 
451.833 433.588 0.0393043 0.00123766 
440.401 431.344 0.0393208 0.00123818 
429.258 429.1 0.0393369 0.00123868 
418.397 426.857 0.0393525 0.00123918 
407.811 424.613 0.0393677 0.00123965 
397.493 422.37 0.0393824 0.00124012 
387.435 420.126 0.0393967 0.00124057 
377.633 417.882 0.0394105 0.001241 
368.078 415.639 0.0394238 0.00124142 
358.765 413.395 0.0394367 0.00124183 
349.688 411.151 0.0394492 0.00124222 
340.84 408.908 0.0394611 0.0012426 
332.216 406.664 0.0394727 0.00124296 
323.811 404.421 0.0394837 0.00124331 
315.618 402.177 0.0394944 0.00124364 
307.632 399.933 0.0395046 0.00124396 
299.849 397.69 0.0395143 0.00124427 
292.262 395.446 0.0395236 0.00124456 
284.867 393.202 0.0395325 0.00124484 
277.66 390.959 0.039541 0.00124511 
270.634 388.715 0.039549 0.00124536 
263.786 386.471 0.0395567 0.0012456 
257.112 384.228 0.0395639 0.00124583 
250.607 381.984 0.0395708 0.00124605 
244.266 379.741 0.0395773 0.00124625 
238.086 377.497 0.0395835 0.00124645 
232.062 375.253 0.0395893 0.00124663 
226.19 373.01 0.0395947 0.0012468 
220.467 370.766 0.0395998 0.00124696 
214.889 368.522 0.0396046 0.00124711 
209.452 366.279 0.0396092 0.00124726 
204.153 364.035 0.0396134 0.00124739 
198.987 361.776 0.0396173 0.00124751 
193.953 359.456 0.039621 0.00124763 
189.045 357.136 0.0396244 0.00124774 
184.262 354.815 0.0396276 0.00124784 
179.6 352.495 0.0396306 0.00124793 
175.056 350.174 0.0396333 0.00124802 
170.627 347.854 0.0396358 0.0012481 
166.31 345.534 0.0396382 0.00124817 
162.102 343.213 0.0396404 0.00124824 
158.0 340.893 0.0396424 0.0012483 
154.003 338.572 0.0396442 0.00124836 
150.106 336.252 0.0396459 0.00124841 
146.308 333.931 0.0396474 0.00124846 
142.606 331.611 0.0396489 0.00124851 
138.998 329.291 0.0396502 0.00124855 
135.481 326.97 0.0396514 0.00124859 
132.054 324.65 0.0396524 0.00124862 
128.712 322.329 0.0396534 0.00124865 
125.456 320.009 0.0396543 0.00124868 
122.282 317.689 0.0396551 0.0012487 
119.188 315.368 0.0396559 0.00124873 
116.172 313.048 0.0396566 0.00124875 
113.233 310.727 0.0396572 0.00124877 
110.368 308.407 0.0396577 0.00124879 
107.575 306.086 0.0396582 0.0012488 
104.853 303.766 0.0396587 0.00124882 
102.2 301.446 0.0396591 0.00124883 
99.6144 299.165 0.0396594 0.00124884 
97.094 297.108 0.0396659 0.00114071 
94.6374 295.051 0.0396711 0.00107789 
92.2429 292.994 0.0396759 0.00102191 
89.909 290.937 0.0396801 0.000972503 
87.6342 288.881 0.0396837 0.000929339 
85.4169 286.824 0.0396869 0.000892053 
83.2557 284.767 0.0396896 0.000860229 
81.1492 282.71 0.0396919 0.000833405 
79.096 280.653 0.0396938 0.000811083 
77.0948 278.596 0.0396954 0.000792743 
75.1442 276.539 0.0396967 0.00077786 
73.2429 274.482 0.0396977 0.000765924 
71.3897 272.426 0.0396985 0.000756454 
69.5835 270.369 0.0396992 0.000749015 
67.8229 268.312 0.0396997 0.000743224 
66.1069 266.255 0.0397001 0.00073875 
64.4343 264.198 0.0397005 0.00073532 
62.804 262.141 0.0397007 0.000732705 
61.2149 260.084 0.0397009 0.000730724 
59.6661 258.027 0.039701 0.00072923 
58.1565 255.971 0.0397011 0.000728109 
56.685 253.914 0.0397012 0.000727271 
55.2508 251.857 0.0397013 0.000726648 
53.8529 249.8 0.0397014 0.000726186 
52.4903 247.743 0.0397014 0.000725845 
51.1622 245.686 0.0397014 0.000725594 
49.8677 243.659 0.0397014 0.00072541 
48.606 241.891 0.0397015 0.000725276 
47.3762 240.122 0.0397015 0.000725178 
46.1775 238.354 0.0397015 0.000725108 
45.0091 236.585 0.0397015 0.000725056 
43.8703 234.817 0.0397015 0.000725019 
42.7603 233.048 0.0397015 0.000724993 
41.6784 231.28 0.0397015 0.000724974 
40.6238 229.511 0.0397015 0.00072496 
39.596 227.743 0.0397015 0.000724951 
38.5942 225.974 0.0397015 0.000724944 
37.6177 224.206 0.0397015 0.000724939 
36.6659 222.437 0.0397015 0.000724936 
35.7382 220.669 0.0397015 0.000724933 
34.8339 218.9 0.0397015 0.000724932 
33.9526 217.132 0.0397015 0.000724931 
33.0935 215.363 0.0397015 0.00072493 
32.2562 213.595 0.0397015 0.000724929 
31.4401 211.827 0.0397015 0.000724929 
30.6446 210.058 0.0397015 0.000724929 
29.8693 208.322 0.0397015 0.000724929 
29.1135 206.741 0.0397015 0.000724928 
28.3769 205.161 0.0397015 0.000724928 
27.6589 203.58 0.0397015 0.000724928 
26.9591 202.0 0.0397015 0.000724928 
26.277 200.419 0.0397015 0.000724928 
25.6121 198.839 0.0397015 0.000724928 
24.9641 197.258 0.0397015 0.000724928 
24.3325 195.678 0.0397015 0.000724928 
23.7169 194.097 0.0397015 0.000724928 
23.1168 192.517 0.0397015 0.000724928 
22.5319 190.936 0.0397015 0.000724928 
21.9618 189.356 0.0397015 0.000724928 
21.4062 187.775 0.0397015 0.000724928 
20.8646 186.195 0.0397015 0.000724928 
20.3366 184.614 0.0397015 0.000724928 
19.8221 183.106 0.0397015 0.000724928 
19.3206 181.731 0.0397015 0.000724928 
18.8317 180.356 0.0397015 0.000724928 
18.3553 178.981 0.0397015 0.000724928 
17.8908 177.607 0.0397015 0.000724928 
